Unnamed: 0.1,Var1
398,CYP3A7
399,CYP46A1
400,CYP4A11
401,CYP4F12
402,CYP4F2
403,CYP4F3
404,CYP4F8
405,CYP51A1
406,CYP7A1
407,CYP7B1
408,CYP8B1
409,CYTB
410,DAD1
411,DAO
412,DBH
413,DBT
414,DCI
415,DCK
416,DCT
417,DCTD
418,DCXR
419,DDC
420,DDO
421,DDOST
422,DEGS1
423,DGAT1
424,DGAT2
425,DGKA
426,DGKB
427,DGKD
428,DGKE
429,DGKG
430,DGKH
431,DGKI
432,DGKQ
433,DGKZ
434,DGUOK
435,DHCR24
436,DHCR7
437,DHFR
438,DHODH
439,DLAT
440,DLD
441,DLST
442,DMGDH
443,DNMT1
444,DNMT3A
445,DNMT3B
446,DOLPP1
447,DOT1L
448,DPAGT1
449,DPM1
450,DPM2
451,DPM3
452,DPYD
453,DPYS
454,DPYSL2
455,DPYSL3
456,DTYMK
457,DUOX1
458,DUOX2
459,DUT
460,EBP
461,ECH1
462,ECHDC2
463,ECHS1
464,EHHADH
465,EHMT1
466,EHMT2
467,ELOVL4
468,ENGASE
469,ENO1
470,ENO2
471,ENO3
472,ENPP1
473,ENPP2
474,ENPP3
475,ENTPD1
476,ENTPD2
477,ENTPD3
478,ENTPD4
479,ENTPD5
480,ENTPD6
481,EPX
482,ESD
483,ETFA
484,ETFB
485,ETFDH
486,ETNK1
487,ETNK2
488,EXT1
489,EXT2
490,EXTL1
491,EXTL2
492,EXTL3
493,FADS1
494,FADS2
495,FAH
496,FASN
497,FBP1
498,FBP2
499,FDFT1
500,FDPS
501,FECH
502,FH
503,FLAD1
504,FOLR1
505,FOLR2L
506,FOLR3
507,FPGS
508,FPGT
509,FTCD
510,FUCA1
511,FUCA2
512,FUK
513,FUT1
514,FUT3
515,FUT8
516,FUT9
517,G6PC
518,G6PC2
519,G6PC3
520,G6PD
521,G6PT2
522,GAA
523,GAD1
524,GAD2
525,GAL3ST1
526,GALC
527,GALE
528,GALK1
529,GALK2
530,GALNS
531,GALNT1
532,GALNT10
533,GALNT11
534,GALNT12
535,GALNT13
536,GALNT14
537,GALNT2
538,GALNT3
539,GALNT4
540,GALNT5
541,GALNT6
542,GALNT7
543,GALNT8
544,GALNT9
545,GALNTL2
546,GALT
547,GAMT
548,GANC
549,GAPDH
550,GAPDHS
551,GART
552,GATM
553,GBA
554,GBA3
555,GBE1
556,GBGT1
557,GCAT
558,GCDH
559,GCH1
560,GCK
561,GCLC
562,GCLM
563,GCNT1
564,GCNT2
565,GCNT3
566,GCNT4
567,GCSH
568,GDA
569,GFPT1
570,GFPT2
571,GGH
572,GGPS1
573,GGT1
574,GGT3P
575,GGT5
576,GK
577,GK2
578,GK3P
579,GLA
580,GLB1
581,GLCE
582,GLDC
583,GLO1
584,GLRX
585,GLRX2
586,GLS
587,GLS2
588,GLUD1
589,GLUD2
590,GLUL
591,GMDS
592,GMPPA
593,GMPPB
594,GMPR
595,GMPR2
596,GMPS
597,GNE
598,GNMT
599,GNPAT
600,GNPDA1
601,GNPDA2
602,GNPNAT1
603,GNS
604,GOT1
605,GOT2
606,GPAA1
607,GPAM
608,GPD1
609,GPD2
610,GPI
611,GPT
612,GPT2
613,GPX1
614,GPX2
615,GPX3
616,GPX4
617,GPX6
618,GRHPR
619,GSR
620,GSS
621,GSTM1
622,GSTZ1
623,GUCY1A2
624,GUCY1A3
625,GUCY1B2
626,GUCY1B3
627,GUCY2C
628,GUCY2D
629,GUCY2F
630,GUK1
631,GUSB
632,GYG1
633,GYG2
634,GYS1
635,GYS2
636,H6PD
637,HAAO
638,HADH
639,HADHA
640,HADHB
641,HAGH
642,HAGHL
643,HAL
644,HAO1
645,HAO2
646,HAS1
647,HAS2
648,HAS3
649,HCST
650,HDC
651,HEXA
652,HEXB
653,HGD
654,HIBADH
655,HIBCH
656,HK1
657,HK2
658,HK3
659,HKDC1
660,HLCS
661,HMBS
662,HMGCL
663,HMGCLL1
664,HMGCR
665,HMGCS1
666,HMGCS2
667,HMOX1
668,HMOX2
669,HNMT
670,HPD
671,HPGDS
672,HPRT1
673,HS2ST1
674,HS3ST1
675,HS3ST2
676,HS3ST3A1
677,HS3ST3A2
678,HS3ST3B1
679,HS3ST3B2
680,HS3ST4
681,HS3ST5
682,HS3ST6
683,HS6ST1
684,HS6ST2
685,HS6ST3
686,HSD11B1
687,HSD11B2
688,HSD17B1
689,HSD17B10
690,HSD17B2
691,HSD17B3
692,HSD17B4
693,HSD17B7
694,HSD17B8
695,HSD3B1
696,HSD3B2
697,HSD3B7
698,HYALP1
699,IDH1
700,IDH2
701,IDH3A
702,IDH3B
703,IDH3G
704,IDI1
705,IDI2
706,IDO1
707,IDS
708,IDUA
709,IMPA1
710,IMPA2
711,IMPDH1
712,IMPDH2
713,INMT
714,INPP1
715,INPP4A
716,INPP4B
717,INPP5A
718,INPP5B
719,INPP5D
720,INPP5E
